Fecha,Niveles
04/01/1999,32.17
05/01/1999,31.68
06/01/1999,30.87
07/01/1999,31.33
08/01/1999,30.85
11/01/1999,31.42
12/01/1999,33.84
13/01/1999,36.09
14/01/1999,36.41
15/01/1999,35.77
18/01/1999,34.63
19/01/1999,36.07
20/01/1999,35.91
21/01/1999,35.35
22/01/1999,35.75
25/01/1999,35.26
26/01/1999,34.89
27/01/1999,34.07
28/01/1999,34.07
29/01/1999,35.85
01/02/1999,34.12
02/02/1999,33.65
03/02/1999,33.74
04/02/1999,34.65
08/02/1999,33.06
09/02/1999,33.32
10/02/1999,32.09
11/02/1999,29.59
12/02/1999,29.11
15/02/1999,28.58
16/02/1999,27.82
17/02/1999,28.79
18/02/1999,28.2
19/02/1999,27.99
22/02/1999,27.85
23/02/1999,28.09
24/02/1999,27.8
25/02/1999,28
26/02/1999,28.46
01/03/1999,27.77
02/03/1999,28.69
03/03/1999,28.28
04/03/1999,27.76
05/03/1999,27.68
08/03/1999,27.3
09/03/1999,26.56
10/03/1999,25.81
11/03/1999,25.26
12/03/1999,25.06
15/03/1999,25.04
16/03/1999,26.2
17/03/1999,27.31
18/03/1999,25.32
19/03/1999,26.57
22/03/1999,25.82
23/03/1999,24.94
24/03/1999,25
25/03/1999,24.59
26/03/1999,24.08
29/03/1999,23.47
30/03/1999,23.37
31/03/1999,22.96
05/04/1999,22.47
06/04/1999,22.11
07/04/1999,21.83
08/04/1999,21.35
09/04/1999,22.23
12/04/1999,22.94
13/04/1999,21.74
14/04/1999,22.2
15/04/1999,21.16
16/04/1999,20.4
19/04/1999,20.06
20/04/1999,20.19
21/04/1999,20.49
22/04/1999,20.29
23/04/1999,20.72
26/04/1999,20.42
27/04/1999,20.57
28/04/1999,20.56
29/04/1999,20.1
30/04/1999,20.24
03/05/1999,20.25
04/05/1999,20.15
06/05/1999,21.27
07/05/1999,22.51
10/05/1999,22.84
11/05/1999,22.96
12/05/1999,22.29
13/05/1999,20.7
14/05/1999,21.05
17/05/1999,20.84
18/05/1999,20.3
19/05/1999,19.94
20/05/1999,19.94
21/05/1999,20.55
24/05/1999,20.37
25/05/1999,21.44
26/05/1999,21.19
27/05/1999,21.02
28/05/1999,21.8
31/05/1999,21.78
01/06/1999,22.62
02/06/1999,22.84
03/06/1999,22.49
04/06/1999,23.35
07/06/1999,23.71
08/06/1999,23.39
09/06/1999,23.57
10/06/1999,22.57
11/06/1999,22.55
14/06/1999,23.17
15/06/1999,22.64
16/06/1999,22.12
17/06/1999,21.48
18/06/1999,21.16
21/06/1999,21.08
22/06/1999,20.57
23/06/1999,20.34
24/06/1999,20.55
25/06/1999,21.42
28/06/1999,21.24
29/06/1999,20.66
30/06/1999,21.01
01/07/1999,20.08
02/07/1999,21.62
05/07/1999,21.69
06/07/1999,22.18
07/07/1999,20.52
08/07/1999,20.09
09/07/1999,20.02
12/07/1999,20.26
13/07/1999,20.75
14/07/1999,19.81
15/07/1999,19.56
16/07/1999,20.24
19/07/1999,19.66
20/07/1999,19.86
21/07/1999,19.87
22/07/1999,19.74
23/07/1999,21.12
26/07/1999,21.35
27/07/1999,20.43
28/07/1999,20.55
29/07/1999,22.16
30/07/1999,21.9
02/08/1999,22.19
03/08/1999,23.52
04/08/1999,22.12
05/08/1999,21.5
06/08/1999,21.5
09/08/1999,21.61
10/08/1999,21.32
11/08/1999,19.99
12/08/1999,20.05
13/08/1999,20.19
16/08/1999,20.28
17/08/1999,19.79
18/08/1999,19.94
19/08/1999,19.82
20/08/1999,20.48
23/08/1999,19.89
24/08/1999,19.15
25/08/1999,19.31
26/08/1999,20.18
27/08/1999,19.83
30/08/1999,19.17
31/08/1999,19.51
02/09/1999,20.05
03/09/1999,21.31
06/09/1999,20.23
07/09/1999,19.9
08/09/1999,20.51
09/09/1999,20.58
10/09/1999,20.81
13/09/1999,20.43
14/09/1999,20.38
15/09/1999,20.88
17/09/1999,21.55
20/09/1999,19.98
21/09/1999,20.16
22/09/1999,19.51
23/09/1999,19.01
24/09/1999,20.77
27/09/1999,20.42
28/09/1999,20.4
29/09/1999,19.04
30/09/1999,18.9
01/10/1999,19.73
04/10/1999,19.04
05/10/1999,18.93
06/10/1999,18.56
07/10/1999,18.37
08/10/1999,18.08
11/10/1999,17.68
12/10/1999,17.27
13/10/1999,17.4
14/10/1999,18.17
15/10/1999,19.19
18/10/1999,18.92
19/10/1999,18.53
20/10/1999,18.38
21/10/1999,18.22
22/10/1999,18.1
25/10/1999,18.51
26/10/1999,18.64
27/10/1999,16.91
28/10/1999,17.42
29/10/1999,17.78
01/11/1999,19.45
03/11/1999,17.91
04/11/1999,16.93
05/11/1999,16.51
08/11/1999,16.44
09/11/1999,16.09
10/11/1999,17.02
11/11/1999,16.54
12/11/1999,16.69
15/11/1999,16.93
16/11/1999,17.13
17/11/1999,16.8
18/11/1999,16.9
19/11/1999,18.02
22/11/1999,19.75
23/11/1999,20.96
24/11/1999,18.86
25/11/1999,18.78
26/11/1999,19.72
29/11/1999,19.74
30/11/1999,19.97
01/12/1999,17.97
02/12/1999,17.76
03/12/1999,17.71
06/12/1999,17.29
07/12/1999,17.21
08/12/1999,17.13
09/12/1999,16.91
10/12/1999,17.03
13/12/1999,17.8
14/12/1999,17.07
15/12/1999,16.96
16/12/1999,16.91
17/12/1999,17.75
20/12/1999,17.08
21/12/1999,16.79
22/12/1999,15.95
23/12/1999,16.64
24/12/1999,17.49
27/12/1999,17.17
28/12/1999,17.08
29/12/1999,17.21
30/12/1999,18.39
03/01/2000,17.14
04/01/2000,17.07
05/01/2000,17.13
06/01/2000,17.07
07/01/2000,17.23
10/01/2000,16.69
11/01/2000,16.77
12/01/2000,16.52
13/01/2000,16.63
14/01/2000,17.13
17/01/2000,17.03
18/01/2000,17.96
19/01/2000,17.74
20/01/2000,18.52
21/01/2000,19.07
24/01/2000,18.44
25/01/2000,18.39
26/01/2000,18.39
27/01/2000,18.37
28/01/2000,19.19
31/01/2000,19.25
01/02/2000,19.32
02/02/2000,19.12
03/02/2000,18.14
04/02/2000,17.77
07/02/2000,17.45
08/02/2000,17.12
09/02/2000,16.83
10/02/2000,16.79
11/02/2000,17
14/02/2000,17.14
15/02/2000,17.17
16/02/2000,17.56
17/02/2000,16.88
18/02/2000,16.86
21/02/2000,16.92
22/02/2000,16.87
23/02/2000,17
24/02/2000,16.67
25/02/2000,16.99
28/02/2000,17.21
29/02/2000,17.38
01/03/2000,16.49
02/03/2000,16.19
03/03/2000,16.14
06/03/2000,15.88
07/03/2000,15.52
08/03/2000,15.27
09/03/2000,15.05
10/03/2000,15.45
13/03/2000,15.61
14/03/2000,15.02
15/03/2000,14.42
16/03/2000,14.48
17/03/2000,15.12
20/03/2000,14.83
22/03/2000,14.34
23/03/2000,14.06
24/03/2000,13.63
27/03/2000,13.95
28/03/2000,14.08
29/03/2000,14.32
30/03/2000,13.79
31/03/2000,13.87
03/04/2000,13.88
04/04/2000,13.89
05/04/2000,14.39
06/04/2000,13.84
07/04/2000,13.62
10/04/2000,13.4
11/04/2000,14.02
12/04/2000,14.24
13/04/2000,13.48
14/04/2000,14.34
17/04/2000,14.66
18/04/2000,14.23
19/04/2000,14.56
24/04/2000,14.69
25/04/2000,13.96
26/04/2000,13.66
27/04/2000,14.19
28/04/2000,14.46
02/05/2000,13.97
03/05/2000,14.39
04/05/2000,14.3
08/05/2000,14.5
09/05/2000,14.56
10/05/2000,14.28
11/05/2000,14.2
12/05/2000,14.18
15/05/2000,14.09
16/05/2000,14.11
17/05/2000,14.47
18/05/2000,14.45
19/05/2000,14.27
22/05/2000,14.34
23/05/2000,14.92
24/05/2000,16.21
25/05/2000,16.31
26/05/2000,16.74
29/05/2000,16.67
30/05/2000,16.73
31/05/2000,16.23
01/06/2000,15.69
02/06/2000,15.18
05/06/2000,14.96
06/06/2000,15.6
07/06/2000,16.66
08/06/2000,16.16
09/06/2000,17.04
12/06/2000,16.58
13/06/2000,16.29
14/06/2000,16.04
15/06/2000,16.03
16/06/2000,16.82
19/06/2000,16.36
20/06/2000,16.37
21/06/2000,16.38
22/06/2000,16.35
23/06/2000,16.82
26/06/2000,17.14
27/06/2000,18.14
28/06/2000,18.08
29/06/2000,18.06
30/06/2000,18.06
03/07/2000,15.92
04/07/2000,16.06
05/07/2000,15.2
06/07/2000,14.37
07/07/2000,14
10/07/2000,14.09
11/07/2000,14.06
12/07/2000,14.06
13/07/2000,13.91
14/07/2000,14.07
17/07/2000,13.94
18/07/2000,13.86
19/07/2000,13.92
20/07/2000,13.7
21/07/2000,13.85
24/07/2000,13.61
25/07/2000,13.59
26/07/2000,13.6
27/07/2000,13.41
28/07/2000,13.39
31/07/2000,13.75
01/08/2000,16
02/08/2000,17.62
03/08/2000,17.66
04/08/2000,17.01
07/08/2000,16.56
08/08/2000,16.51
09/08/2000,16.51
10/08/2000,16.66
11/08/2000,16.61
14/08/2000,16.65
15/08/2000,16.34
16/08/2000,16.15
17/08/2000,16.1
18/08/2000,16.22
21/08/2000,15.97
22/08/2000,15.85
23/08/2000,15.67
24/08/2000,15.62
25/08/2000,15.64
28/08/2000,15.64
29/08/2000,15.78
30/08/2000,16.6
31/08/2000,15.51
01/09/2000,15.35
04/09/2000,15.44
05/09/2000,15.78
06/09/2000,15.99
07/09/2000,15.76
08/09/2000,15.99
11/09/2000,15.82
12/09/2000,15.79
13/09/2000,15.76
14/09/2000,15.92
15/09/2000,16.43
18/09/2000,15.81
19/09/2000,15.88
20/09/2000,15.99
21/09/2000,16.4
22/09/2000,16.84
25/09/2000,15.96
26/09/2000,15.92
27/09/2000,16.58
28/09/2000,15.76
29/09/2000,15.89
02/10/2000,15.76
03/10/2000,15.72
04/10/2000,15.71
05/10/2000,15.72
06/10/2000,15.72
09/10/2000,15.71
10/10/2000,15.67
11/10/2000,15.75
12/10/2000,15.72
13/10/2000,15.98
16/10/2000,15.78
17/10/2000,15.88
18/10/2000,16.99
19/10/2000,17.19
20/10/2000,17.62
23/10/2000,17.59
24/10/2000,17.54
25/10/2000,17.52
26/10/2000,17.12
27/10/2000,17.11
30/10/2000,17.11
31/10/2000,17.09
01/11/2000,17.12
03/11/2000,17.15
06/11/2000,17.12
07/11/2000,17.12
08/11/2000,17.18
09/11/2000,17.31
10/11/2000,17.38
13/11/2000,18.05
14/11/2000,18.31
15/11/2000,18.2
16/11/2000,18.19
17/11/2000,18.79
21/11/2000,19.09
22/11/2000,19.27
23/11/2000,18.21
24/11/2000,18.2
27/11/2000,18.05
28/11/2000,17.88
29/11/2000,17.84
30/11/2000,17.9
04/12/2000,17.32
05/12/2000,17.19
06/12/2000,17.15
07/12/2000,17.25
08/12/2000,17.28
11/12/2000,17.3
13/12/2000,17.32
14/12/2000,17.25
15/12/2000,17.6
18/12/2000,17.44
19/12/2000,17.31
20/12/2000,17.74
21/12/2000,17.74
22/12/2000,18.68
26/12/2000,18.27
27/12/2000,18
28/12/2000,18.31
29/12/2000,18.79
02/01/2001,17.87
03/01/2001,17.87
04/01/2001,17.2
05/01/2001,17.07
08/01/2001,16.95
09/01/2001,16.92
10/01/2001,17.01
11/01/2001,17.09
12/01/2001,17.22
15/01/2001,18.03
16/01/2001,18.34
17/01/2001,18.44
18/01/2001,18.32
19/01/2001,18.15
22/01/2001,18.1
23/01/2001,18.12
24/01/2001,18.08
25/01/2001,17.87
26/01/2001,17.6
29/01/2001,17.69
30/01/2001,17.71
31/01/2001,17.72
01/02/2001,17.71
02/02/2001,17.85
06/02/2001,17.84
07/02/2001,17.83
08/02/2001,17.74
09/02/2001,17.6
12/02/2001,17.63
13/02/2001,17.61
14/02/2001,16.9
15/02/2001,17.5
16/02/2001,17.6
19/02/2001,17.45
20/02/2001,17.35
21/02/2001,17.39
22/02/2001,17.45
23/02/2001,17.16
26/02/2001,17.07
27/02/2001,16.96
28/02/2001,16.86
01/03/2001,16.9
02/03/2001,17.23
05/03/2001,17.13
06/03/2001,17.05
07/03/2001,16.84
08/03/2001,16.69
09/03/2001,16.64
12/03/2001,16.64
13/03/2001,16.61
14/03/2001,15.79
15/03/2001,16.71
16/03/2001,17.33
19/03/2001,17.08
20/03/2001,17.33
22/03/2001,16.61
23/03/2001,16.55
26/03/2001,16.39
27/03/2001,16.21
28/03/2001,16.13
29/03/2001,16.18
30/03/2001,16.32
02/04/2001,16.28
03/04/2001,16.4
04/04/2001,16.17
05/04/2001,16
06/04/2001,16.32
09/04/2001,16.71
10/04/2001,16.03
11/04/2001,16.18
16/04/2001,15.92
17/04/2001,15.8
18/04/2001,15.65
19/04/2001,15.57
20/04/2001,15.68
23/04/2001,15.64
24/04/2001,15.59
25/04/2001,15.46
26/04/2001,15.06
27/04/2001,14.97
30/04/2001,15
02/05/2001,14.89
03/05/2001,14.85
04/05/2001,14.86
07/05/2001,14.92
08/05/2001,14.93
09/05/2001,14.66
10/05/2001,14.58
11/05/2001,14.36
14/05/2001,14.28
15/05/2001,14.27
16/05/2001,14.22
17/05/2001,13.76
18/05/2001,13.39
21/05/2001,11.9
22/05/2001,11.38
23/05/2001,11.18
24/05/2001,11.22
25/05/2001,11.27
28/05/2001,11.34
29/05/2001,11.35
30/05/2001,11.34
31/05/2001,11.47
01/06/2001,11.52
04/06/2001,11.66
05/06/2001,11.59
06/06/2001,11.1
07/06/2001,11.26
08/06/2001,11.38
11/06/2001,11.09
12/06/2001,11.08
13/06/2001,11.11
14/06/2001,11
15/06/2001,10.96
18/06/2001,10.65
19/06/2001,10.39
20/06/2001,10.43
21/06/2001,10.71
22/06/2001,10.65
25/06/2001,10.61
26/06/2001,10.39
27/06/2001,10.17
28/06/2001,10.17
29/06/2001,10.25
02/07/2001,10.14
03/07/2001,10.12
04/07/2001,9.7
05/07/2001,9.96
06/07/2001,10.33
09/07/2001,10.18
10/07/2001,10.08
11/07/2001,10.31
12/07/2001,10.3
13/07/2001,10.31
16/07/2001,10.14
17/07/2001,10.04
18/07/2001,9.84
19/07/2001,9.8
20/07/2001,9.83
23/07/2001,9.8
24/07/2001,9.68
25/07/2001,9.39
26/07/2001,9.29
27/07/2001,9.34
30/07/2001,9.28
31/07/2001,9.27
01/08/2001,9.77
02/08/2001,8.64
03/08/2001,8.59
06/08/2001,8.34
07/08/2001,8.28
08/08/2001,8.23
09/08/2001,8.22
10/08/2001,8.21
13/08/2001,8.22
14/08/2001,8.22
15/08/2001,8.21
16/08/2001,8.21
17/08/2001,8.21
20/08/2001,8.24
21/08/2001,8.23
